provider_id,provider_name,provider_type,specialty,cedula_profesional,tax_id,street_address,city,state,zip_code,phone,email,network_tier,contract_start_date,contract_end_date,is_accepting_patients,quality_rating
PRV00011,"Pacheco, Alcántar y Sandoval - Nueva Australia",Hospital,Specialty Hospital,,OARW4011057WN,"Periférico Qatar 503 Edif. 486 , Depto. 506",Nueva Australia,SIN,82427-3315,318.584.1185x08748,aldovillalobos@example.net,Tier 1 - Preferred,2023-12-13,2028-12-11,True,
PRV00012,Villarreal-Malave S.A. de C.V. - Valladolid,Clinic,Urgent Care Clinic,,POUW970404Y9S,Retorno Rumania 129 Interior 916,Valladolid,YUC,38426-1300,574-331-0742x363,claradel-valle@example.org,Tier 1 - Preferred,2017-02-08,2018-02-08,True,4.6
PRV00013,"Sáenz, Hernández y Saucedo - San Alfredo los altos",Laboratory,Clinical Laboratory,,XEDT130126XEV,Prolongación Chihuahua 758 Interior 034,San Alfredo los altos,ZAC,42058,02200707732,castromartha@example.org,Tier 1 - Preferred,2018-04-17,2023-04-16,True,4.7
PRV00014,Parra S.A. - San Teodoro los altos,Laboratory,Clinical Laboratory,,IIGB570826BRX,Ampliación Guanajuato 569 522,San Teodoro los altos,HGO,68852-2256,1-292-598-1452x9085,,Tier 1 - Preferred,2017-06-24,2020-06-23,True,
PRV00015,Dr. Salvador Contreras Prado,Individual,Neurology,94433645,PUHF920120VDW,Andador México 534 297,San Miguel los bajos,HGO,15504,681.920.5321,antonio21@example.net,Tier 1 - Preferred,2017-01-11,2022-01-10,True,
PRV00016,Dr. Aldonza Magaña Armendáriz,Individual,Dermatology,48090033,LULV24020548G,Ampliación Sur Olivas 696 Interior 987,Nueva Mauricio,SIN,66739-5148,679.734.8729,bonillajaime@example.org,Tier 1 - Preferred,2023-10-15,2027-10-14,True,3.8
PRV00017,Dr. Renato Olvera Ávalos,Individual,Radiology,98071245,DESV180426XI6,"Ampliación Sur Prado 892 Edif. 148 , Depto. 840",Ecatepec,MEX,22957-3621,633.619.1067x978,ysisneros@example.com,Out of Network,2024-05-21,2027-05-21,True,3.8
PRV00018,Dr. Linda Escalante Armas,Individual,Radiology,23160458,KIOQ3812121DW,Corredor China 902 Interior 891,Vieja Túnez,CHIS,78485-8589,+75(4)1253958273,esthermonroy@example.net,Tier 1 - Preferred,2016-09-06,2017-09-06,True,
PRV00019,Dr. Javier Montaño Zepeda,Individual,Family Medicine,17789315,JAUI941107P4C,"Calzada Quintana Roo 773 Edif. 199 , Depto. 885",Nueva Comoras,AGS,98096-2516,003.956.8550,,Tier 2 - Standard,2024-03-13,2027-03-13,True,
PRV00020,Dr. Georgina Portillo Lira,Individual,Orthopedics,71400196,CIPZ710821IB7,Corredor Sur Figueroa 643 725,Vieja Lituania,GRO,14773-6710,893.356.1353x59470,,Tier 1 - Preferred,2019-06-25,2024-06-23,True,3.2
PRV00021,Corrales-Murillo - San Fidel los altos,Laboratory,Pathology Lab,,BIVZ400312GTD,"Eje vial Ulibarri 279 Edif. 643 , Depto. 595",San Fidel los altos,TAB,03688,1-975-844-0450x25812,miriamvelazquez@example.org,Tier 2 - Standard,2016-05-19,2020-05-18,True,
PRV00022,Dr. Liliana Sevilla Rentería,Individual,OB/GYN,63332351,UONM5003225M8,"Pasaje Emiratos Árabes Unidos 111 Edif. 275 , Depto. 341",Guanajuato,GTO,20335,1-920-567-5953x916,armendarizmaria-eugenia@example.org,Out of Network,2020-06-29,2024-06-28,True,
PRV00023,Dr. Salvador Feliciano Maestas,Individual,Rheumatology,96813745,MODV220827JPJ,Peatonal Sur Maya 443 Interior 410,Celaya,GTO,20050-1904,1-832-214-9425x605,,Out of Network,2019-05-15,2022-05-14,False,4.9
PRV00024,"Benavídez, Santana y Fuentes - Nueva Eslovaquia",Hospital,Children's Hospital,,MIIB230513XL5,Callejón Sur Calderón 862 774,Nueva Eslovaquia,SLP,43995,(839)625-1674x634,marisela44@example.org,Tier 1 - Preferred,2020-12-02,2025-12-01,True,3.8
PRV00025,Grupo Alcántar y Anguiano - San Adela de la Montaña,Clinic,Multi-Specialty Clinic,,RIMQ131104XXY,Diagonal Jalisco 247 570,San Adela de la Montaña,SLP,56301,(449)827-3162,benito75@example.com,Tier 1 - Preferred,2023-04-30,2024-04-29,True,3.5
PRV00026,Laboratorios Sanabria-Rojas - San Gerónimo de la Montaña,Hospital,General Hospital,,FERV270929FI2,Callejón Sur Rolón 933 714,San Gerónimo de la Montaña,BCS,81067,729.066.4566,victoriaramirez@example.com,Tier 2 - Standard,2017-03-14,2022-03-13,True,4.3
PRV00027,Osorio y Treviño A.C. - Valladolid,Imaging Center,Diagnostic Imaging,,JIHX871112F3D,Calzada Coahuila de Zaragoza 900 Interior 013,Valladolid,YUC,07657-7257,802.768.4373,bravomateo@example.net,Tier 2 - Standard,2022-07-22,2024-07-21,False,4.9
PRV00028,Dr. Rodrigo Leiva Rivera,Individual,Neurology,29256150,LUDL480821SVY,"Calle Norte Urías 025 Edif. 262 , Depto. 010",San Soledad de la Montaña,SIN,84948,247.265.7857,,Tier 1 - Preferred,2020-02-18,2022-02-17,True,
PRV00029,Guajardo-Griego - Vieja Tayikistán,Hospital,Women's Hospital,,YOXX490830P76,"Avenida Angola 364 Edif. 786 , Depto. 910",Vieja Tayikistán,CHIH,45215-0880,510-600-0724x578,martin33@example.org,Tier 2 - Standard,2024-04-14,2027-04-14,True,3.8
PRV00030,Dr. Jesús Meza de la Fuente,Individual,Dermatology,47017168,BETB801001QXQ,"Pasaje Norte Guardado 444 Edif. 044 , Depto. 234",Naucalpan,MEX,89752-7023,1-845-659-4352x29223,,Tier 1 - Preferred,2018-03-28,2023-03-27,True,3.3
PRV00031,Dr. Rufino Hinojosa Romo,Individual,Orthopedics,19934246,YIWZ581013JO4,Diagonal Tijerina 539 Interior 287,Nueva Argelia,MICH,82549,1-411-336-3542x8225,,Tier 2 - Standard,2023-07-31,2025-07-30,True,4.0
PRV00032,Abrego y Rosas y Asociados - Irapuato,Laboratory,Diagnostic Lab,,LIBV39101771N,"Circunvalación Aguascalientes 180 Edif. 457 , Depto. 661",Irapuato,GTO,84073,(340)945-6997x447,,Tier 2 - Standard,2016-09-20,2020-09-19,True,
PRV00033,"Despacho Carrión, Olmos y Zamudio - Monterrey",Imaging Center,CT Scan Center,,MAKP260131BH0,Corredor Guinea 467 184,Monterrey,NL,07977,04425781272,,Tier 1 - Preferred,2020-08-09,2023-08-09,True,3.5
PRV00034,Dr. Elena Bahena Alejandro,Individual,Internal Medicine,07004586,LATP110823SGC,Calzada Coahuila de Zaragoza 599 029,San Pamela de la Montaña,SIN,46712-9631,820.094.6853,orozcoelena@example.com,Tier 1 - Preferred,2017-07-17,2021-07-16,True,4.8
PRV00035,Alemán-Armenta - Nezahualcóyotl,Laboratory,Clinical Laboratory,,XALK450526PT8,Ampliación Pizarro 161 816,Nezahualcóyotl,MEX,58113,(089)331-6134x941,hmelgar@example.org,Tier 1 - Preferred,2019-12-29,2020-12-28,True,
PRV00036,"Montez, Córdova y Quiñónez - San Juan de la Montaña",Clinic,Multi-Specialty Clinic,,TONB92082496B,Callejón Sur de la Torre 432 376,San Juan de la Montaña,GRO,51287,1-787-937-4615,badillopaulina@example.org,Tier 1 - Preferred,2015-09-14,2018-09-13,True,3.7
PRV00037,Miranda-Gamboa S.A. - San María Teresa los altos,Laboratory,Clinical Laboratory,,BAFR730617XEL,"Viaducto Sur Meza 579 Edif. 350 , Depto. 689",San María Teresa los altos,MOR,81019,+78(3)7053335809,ilse85@example.com,Tier 2 - Standard,2020-03-30,2021-03-30,True,4.2
PRV00038,Dr. Socorro Corona Echeverría,Individual,Psychiatry,40730877,EIRP150506PRX,"Circuito Quintana Roo 787 Edif. 689 , Depto. 911",Coatzacoalcos,VER,20726-7190,1-080-752-7756,,Tier 2 - Standard,2022-10-13,2024-10-12,True,
PRV00039,"Barrientos, Carrasco y Melgar - San Homero de la Montaña",Pharmacy,Retail Pharmacy,,OINH050224GT4,"Andador Colima 381 Edif. 630 , Depto. 169",San Homero de la Montaña,NAY,03337,181.338.6861x48327,ofeliaalcaraz@example.com,Out of Network,2022-04-30,2026-04-29,True,3.8
PRV00040,Dr. Paulina Vigil Jaimes,Individual,Endocrinology,83212354,EUWG4909040UQ,Viaducto Sur Mireles 438 Interior 495,Querétaro,QRO,32644-6158,1-513-405-0765,acordova@example.net,Tier 2 - Standard,2021-12-14,2023-12-14,False,
PRV00041,Dr. Emilio Villalobos Pedroza,Individual,Radiology,76654002,RULI991012824,Retorno Viera 409 278,Valladolid,YUC,68461,(263)574-6026,,Tier 1 - Preferred,2022-05-06,2027-05-05,False,
PRV00042,Proyectos Gracia y Aparicio - Vieja Camerún,Laboratory,Diagnostic Lab,,YIPD890124B17,Privada Sur Sevilla 645 Interior 911,Vieja Camerún,CAMP,92861-2493,764-926-9735,,Tier 1 - Preferred,2021-03-12,2024-03-11,True,
PRV00043,Dr. Ofelia Trujillo Bustamante,Individual,Family Medicine,71221631,VUMZ2506237XL,"Ampliación España 080 Edif. 700 , Depto. 014",Ecatepec,MEX,73833-7447,1-876-383-8534x4983,xurias@example.org,Tier 1 - Preferred,2018-10-02,2022-10-01,True,
PRV00044,"Marín, de la O y Quintanilla - Nueva Camboya",Hospital,Children's Hospital,,MUME2608094NE,"Continuación San Vicente y las Granadinas 156 Edif. 138 , Depto. 790",Nueva Camboya,COAH,45693,(883)030-7398,garzaelsa@example.net,Tier 2 - Standard,2023-07-20,2026-07-19,True,
PRV00045,Dr. Inés Paz Pelayo,Individual,Psychiatry,75088167,CEUW190419FQ5,Prolongación Aguirre 787 Interior 775,Vieja Cuba,AGS,97884-2214,(630)291-0695x869,gabrielrocha@example.com,Tier 2 - Standard,2022-02-08,2026-02-07,True,3.2
PRV00046,Dr. Teodoro Camarillo Quintana,Individual,Radiology,98324379,COZA181209ZI9,Calzada Campeche 482 Interior 203,San Enrique de la Montaña,DGO,04935,(122)425-9442,,Out of Network,2016-01-18,2019-01-17,True,
PRV00047,Dr. Wendolin Montenegro Sauceda,Individual,OB/GYN,28352660,SUMK300721I7V,Privada Argentina 480 651,Coatzacoalcos,VER,75353,05239215422,burgoscarmen@example.com,Tier 2 - Standard,2017-02-21,2020-02-21,False,
PRV00048,Dr. Jaime Alonso Montes,Individual,Endocrinology,68141280,EUXC020528CWK,Circunvalación Mesa 515 Interior 558,San Juan del Río,QRO,12325,(975)343-1707,citlali92@example.org,Tier 2 - Standard,2017-09-01,2022-08-31,True,
PRV00049,"Proyectos Tamez, Escamilla y Fajardo - Querétaro",Laboratory,Pathology Lab,,PEFR451103M6U,Circuito Sur Pelayo 193 165,Querétaro,QRO,74664-5882,851-596-7354x57923,bchavez@example.com,Tier 1 - Preferred,2022-12-04,2023-12-04,True,
PRV00050,Dr. Oswaldo Negrete Nieves,Individual,Emergency Medicine,42274974,AEFD4702230RY,Calzada Polonia 252 923,San Rolando de la Montaña,HGO,63426,(973)099-5964,acamarillo@example.net,Out of Network,2015-10-10,2017-10-09,True,4.9
PRV00051,Dr. Eduardo Véliz Suárez,Individual,Orthopedics,62731740,BELT221109TST,Eje vial San Marino 822 Interior 341,San Jaime de la Montaña,CHIS,62768-9196,287.316.6254x59376,sandramorales@example.com,Out of Network,2016-06-30,2019-06-30,False,4.6
PRV00052,Proyectos Polanco y Quezada - Vieja Sudáfrica,Clinic,Walk-in Clinic,,FOZM061101TP4,Andador Sur Valdivia 851 666,Vieja Sudáfrica,BCS,04502,+76(7)3277379115,mserna@example.net,Tier 1 - Preferred,2022-02-25,2025-02-24,True,4.9
PRV00053,Proyectos Ceballos-Peralta - San Isaac de la Montaña,Clinic,Walk-in Clinic,,WEHY940125J8K,Pasaje Sur Saavedra 192 Interior 352,San Isaac de la Montaña,AGS,81846,(475)033-7481,scabrera@example.com,Tier 1 - Preferred,2020-09-13,2025-09-12,True,
PRV00054,Dr. Sandra Villarreal Espinoza,Individual,Dermatology,95760519,OOCN410426JNU,"Calzada Sur Sevilla 158 Edif. 030 , Depto. 609",San Catalina de la Montaña,NAY,81993,358-047-7758x8459,,Tier 2 - Standard,2023-06-01,2028-05-30,False,
PRV00055,"Chávez, Lugo y Carrasco - Nueva Tailandia",Hospital,Cardiac Center,,AUVX320826V8S,"Cerrada Norte de León 089 Edif. 928 , Depto. 043",Nueva Tailandia,GRO,27766,03628355506,susana01@example.com,Out of Network,2016-11-04,2018-11-04,True,
PRV00056,Dr. Yolanda Lomeli Barajas,Individual,Gastroenterology,44834029,GABB551223UTQ,Retorno China 321 Interior 698,Vieja Fiji,ZAC,27476,1-392-033-6195,tafoyagerardo@example.com,Out of Network,2018-10-24,2019-10-24,True,4.3
PRV00057,Dr. Jesús Patiño Solorzano,Individual,Orthopedics,54687629,LAGF250817TIW,Callejón Luxemburgo 211 703,León,GTO,97996-7687,329-053-2572x1112,,Tier 2 - Standard,2020-01-01,2020-12-31,True,3.3
PRV00058,Dr. Berta Moreno Rendón,Individual,Oncology,36684050,NARV9105200NP,"Periférico Manzanares 184 Edif. 751 , Depto. 587",San Francisco los altos,TLAX,83958,1-596-141-9012x2641,,Tier 2 - Standard,2019-05-02,2023-05-01,True,4.1
PRV00059,Dr. Gerónimo Rico Valle,Individual,Ophthalmology,11307995,QAVY300408VKE,Cerrada Antigua y Barbuda 735 153,San Blanca los bajos,SON,88625,476.835.7324x081,ycazares@example.org,Out of Network,2018-01-22,2021-01-21,True,5.0
PRV00060,Dr. Camila Soria Robles,Individual,Emergency Medicine,61442545,CICW1507183PW,"Privada Querétaro 874 Edif. 234 , Depto. 412",Nueva Micronesia,TLAX,29263-5197,351-469-9197,,Tier 1 - Preferred,2024-07-24,2026-07-24,True,
PRV00061,Oquendo y Acevedo e Hijos - Progreso,Clinic,Multi-Specialty Clinic,,MIUI000920C5Q,Viaducto Oaxaca 018 Interior 311,Progreso,YUC,68005,360-149-0223x7147,zamudiojose-eduardo@example.com,Tier 2 - Standard,2023-02-09,2027-02-08,True,
PRV00062,Dr. Marisol Barela Salgado,Individual,Endocrinology,74385356,NIMA4809170WP,Andador Guyana 537 263,Ensenada,BC,67358,(569)882-8236,,Tier 1 - Preferred,2024-03-09,2028-03-08,True,
PRV00063,"Grupo Mondragón, Salcedo y Ballesteros - León",Clinic,Multi-Specialty Clinic,,IEQP3903077TD,Pasaje República Checa 364 603,León,GTO,89347-0862,1-404-660-8107x983,maria-eugenia68@example.com,Out of Network,2019-05-28,2023-05-27,True,
PRV00064,Dr. Benito Juárez Castillo,Individual,Cardiology,89029046,LATO9607035TH,Viaducto Baja California 871 Interior 800,Vieja Grecia,SLP,06299,+87(7)0621303065,tsoria@example.com,Tier 2 - Standard,2018-07-27,2019-07-27,True,3.1
PRV00065,Dr. Ruby Leal Rentería,Individual,OB/GYN,03863799,RELS620125JV8,Circunvalación México 581 549,Ecatepec,MEX,11679-3723,04646533583,elvira64@example.net,Tier 1 - Preferred,2016-02-04,2018-02-03,True,3.1
PRV00066,Corporacin Navarro y Carrera - San Juan del Río,Hospital,Cardiac Center,,PEBP660112V5Y,Eje vial Chihuahua 277 Interior 003,San Juan del Río,QRO,18223,758.652.4377,judith12@example.org,Out of Network,2017-03-22,2018-03-22,False,4.5
PRV00067,Dr. Claudio Aguayo Bermúdez,Individual,Rheumatology,00704417,EONB640529HZR,Circunvalación Hungría 884 Interior 502,Valladolid,YUC,46134,906.173.4517x52794,maganaignacio@example.com,Tier 1 - Preferred,2020-02-27,2024-02-26,False,3.2
PRV00068,Dr. José Carlos Rosado de la Garza,Individual,Dermatology,07344820,TULU921115DUY,Privada Belice 968 Interior 594,San Raúl los altos,COL,78014,(671)495-6341x43089,adancalvillo@example.org,Tier 1 - Preferred,2022-07-17,2023-07-17,True,4.7
PRV00069,Laboratorios Torres y Merino - San Estefanía los altos,Hospital,Specialty Hospital,,AIJN280204G78,Ampliación Norte Lara 520 384,San Estefanía los altos,DGO,39865-9234,(419)088-2382,wrenteria@example.com,Tier 1 - Preferred,2022-04-15,2023-04-15,True,
PRV00070,Dr. Ilse del Río Rosario,Individual,Ophthalmology,81065563,NEBV720713VL8,Ampliación Sur Ocampo 323 Interior 629,Nueva Chile,COL,33830,239-327-9300,,Tier 2 - Standard,2022-12-16,2023-12-16,False,
PRV00071,"Grupo Almaraz, Zamora y Granado - Nueva Dominicana",Laboratory,Diagnostic Lab,,GENI830124RQR,Retorno Azerbaiyán 439 766,Nueva Dominicana,TAMPS,05753,757.666.8612,,Tier 1 - Preferred,2018-07-16,2022-07-15,True,3.3
PRV00072,Dr. Benito Becerra Anaya,Individual,OB/GYN,00540734,RUMV240719FB8,Avenida Hernandes 840 Interior 793,Vieja Niger,SIN,54046,+31(8)0018581662,,Tier 1 - Preferred,2021-07-13,2026-07-12,False,
PRV00073,Dr. Óscar Villaseñor Campos,Individual,Gastroenterology,29998291,IINW1201193KM,Prolongación Filipinas 013 Interior 161,San Rolando los bajos,TLAX,33251,674-901-2752x3783,mateonelly@example.com,Tier 2 - Standard,2019-07-14,2022-07-13,True,4.9
PRV00074,Gamboa-Vera - Nezahualcóyotl,Laboratory,Pathology Lab,,AAPX781006DGR,"Boulevard Montalvo 879 Edif. 674 , Depto. 733",Nezahualcóyotl,MEX,98585,1-932-363-3285,yenimontero@example.org,Tier 1 - Preferred,2021-01-21,2026-01-20,False,
PRV00075,"Laboratorios Montes, Valverde y Domínguez - Vieja Iraq",Imaging Center,MRI Center,,ZAKM200630MTC,Calzada Antigua y Barbuda 607 Interior 036,Vieja Iraq,GRO,90195-3366,+26(5)2443720805,,Tier 2 - Standard,2017-05-16,2022-05-15,True,3.9
PRV00076,Solorio-Ocasio A.C. - San Claudio los bajos,Imaging Center,Diagnostic Imaging,,BINS471005QZT,Boulevard Melgar 008 274,San Claudio los bajos,QROO,20934,1-855-253-3442x48617,,Tier 1 - Preferred,2020-10-02,2023-10-02,True,4.6
PRV00077,Villalobos-Villalpando S. R.L. de C.V. - San Amelia los bajos,Laboratory,Pathology Lab,,KOET190825C0P,"Andador Guatemala 282 Edif. 217 , Depto. 940",San Amelia los bajos,MICH,14482-8904,170.526.4784x8929,valdezandrea@example.org,Tier 1 - Preferred,2017-09-18,2021-09-17,True,3.3
PRV00078,Dr. Virginia Canales Galván,Individual,Endocrinology,94235490,ZIAG350211GEP,Privada Michoacán de Ocampo 409 885,San Yuridia los bajos,DGO,92304-3405,(530)305-8970x940,,Tier 2 - Standard,2023-05-28,2027-05-27,True,
PRV00079,Rascón y Gollum S.A. - Nueva Bélgica,Laboratory,Pathology Lab,,VIHG770105Y0N,"Calzada Pérez 203 Edif. 647 , Depto. 992",Nueva Bélgica,AGS,87532-6422,(340)343-5902,,Tier 2 - Standard,2021-02-05,2023-02-05,True,4.7
PRV00080,Dr. Marcela Cortés Mateo,Individual,Pediatrics,84362917,TAYL670703LJA,Ampliación Toledo 823 522,San Vicente los altos,BCS,87538-5490,05425829867,aolvera@example.org,Out of Network,2018-11-12,2021-11-11,True,3.2
PRV00081,Dr. Rocío Tello Ordóñez,Individual,Gastroenterology,04275445,GIBP091215WSF,"Periférico Arenas 484 Edif. 001 , Depto. 434",San Camila de la Montaña,SLP,28227,393.126.9288,juanhernandez@example.net,Out of Network,2022-08-24,2026-08-23,True,
PRV00082,Mireles-Carvajal S.A. - Vieja Burundi,Hospital,Cardiac Center,,OUWE100721AZF,Andador Chihuahua 097 Interior 885,Vieja Burundi,TLAX,67663,1-598-186-4208x7233,graciela99@example.org,Out of Network,2018-02-24,2023-02-23,True,
PRV00083,Dr. María José Vélez Ríos,Individual,OB/GYN,12600171,JAPI1502208AY,Corredor Sur Gamboa 758 Interior 372,San Esparta los altos,TAB,49262-5879,(420)574-6118,jacobobravo@example.com,Out of Network,2021-01-08,2026-01-07,True,
PRV00084,Dr. Iván Aguilar Fuentes,Individual,Psychiatry,58418556,FOTD410616MYN,Circunvalación Sinaloa 715 Interior 479,Zapopan,JAL,66431-0876,07549922389,zmora@example.net,Tier 2 - Standard,2021-12-09,2025-12-08,False,3.5
PRV00085,Dr. Wendolin Ocasio Ferrer,Individual,Neurology,05454288,DANV180530B2H,"Cerrada Estados Unidos de América 046 Edif. 425 , Depto. 870",Xalapa,VER,75881,00307803629,pablo48@example.net,Tier 2 - Standard,2021-01-11,2026-01-10,False,
PRV00086,Despacho Aragón y Arguello - Valladolid,Laboratory,Pathology Lab,,DEKL220324693,Avenida Oaxaca 901 Interior 299,Valladolid,YUC,20903,005.103.5079,,Tier 1 - Preferred,2017-01-16,2018-01-16,True,3.7
PRV00087,Dr. Alta  Gracia Lozada Núñez,Individual,Family Medicine,59075331,YAEZ2706152A9,Privada Sur Ávalos 521 486,San Rosalia los bajos,CAMP,88385-1799,518-195-6329,mauricioteran@example.com,Tier 1 - Preferred,2023-09-27,2027-09-26,False,
PRV00088,Dr. Lilia Carreón Gaytán,Individual,Oncology,05605687,IARM830717FF4,"Privada Maldivas 293 Edif. 782 , Depto. 785",Irapuato,GTO,77358-9944,231.061.4864x172,,Tier 1 - Preferred,2020-04-03,2022-04-03,True,4.1
PRV00089,Barajas-Badillo A.C. - San María Cristina los bajos,Laboratory,Clinical Laboratory,,DIRA151108LP1,"Andador Melgar 501 Edif. 665 , Depto. 513",San María Cristina los bajos,SLP,58250-4039,1-587-298-1173,uarenas@example.org,Tier 1 - Preferred,2024-06-22,2029-06-21,True,
PRV00090,"Barragán, Montez y Aguirre - Vieja Tuvalu",Clinic,Multi-Specialty Clinic,,POTJ120903FZM,Circuito Alonso 405 783,Vieja Tuvalu,QROO,24222,+37(1)3034168371,asuncion93@example.org,Tier 2 - Standard,2017-06-09,2020-06-08,True,3.1
PRV00091,"Corporacin Mateo, Briseño y Jiménez - San Ana María los altos",Pharmacy,Retail Pharmacy,,BOXE7506293QV,"Periférico Bahamas 269 Edif. 065 , Depto. 642",San Ana María los altos,TLAX,03395,301.742.9511x8442,,Out of Network,2023-07-16,2025-07-15,False,3.7
PRV00092,Dr. Isabel Castro Méndez,Individual,Internal Medicine,59786022,TINX9706113SO,Callejón Sarabia 990 927,San Alfredo de la Montaña,GRO,26972,472-166-1371x65919,elvira30@example.com,Out of Network,2015-11-16,2017-11-15,True,4.3
PRV00093,Corporacin Caraballo y Toledo - San Elvia los altos,Laboratory,Diagnostic Lab,,EACD711204C2L,Prolongación Norte Orta 782 787,San Elvia los altos,QROO,54916-9062,06094860260,,Out of Network,2016-06-07,2020-06-06,False,
PRV00094,Dr. Leonor Lira Moya,Individual,Pediatrics,91436688,WERB5001134KL,Boulevard Distrito Federal 538 957,Nueva Armenia,SON,83741,395.351.0813,dulce-maria88@example.com,Tier 1 - Preferred,2018-05-21,2022-05-20,True,
PRV00095,"Pelayo, Caldera y Nieto - San Sandra los bajos",Laboratory,Diagnostic Lab,,KUWR390611EUW,Avenida Djibouti 235 228,San Sandra los bajos,ZAC,60349-0364,556-261-6189,,Tier 1 - Preferred,2016-06-29,2019-06-29,True,4.0
PRV00096,Dr. Salma Escamilla Acosta,Individual,Dermatology,57170697,WODW330715D3P,Callejón Belice 916 417,Querétaro,QRO,68286-8345,1-520-439-6938,,Tier 1 - Preferred,2017-06-17,2021-06-16,False,3.6
PRV00097,Dr. Adalberto Samaniego Cortés,Individual,Neurology,67662559,NEQS590130IZJ,Andador Norte Carreón 326 541,Vieja Finlandia,TAMPS,19630-9295,(576)380-4008x227,,Tier 2 - Standard,2021-08-10,2023-08-10,True,4.8
PRV00098,Pulido S.A. - Nueva Ecuador,Clinic,Walk-in Clinic,,XEIF671226VLH,Pasaje Lara 733 608,Nueva Ecuador,AGS,17349-3505,048.487.0635x26896,claudia75@example.net,Tier 1 - Preferred,2018-12-12,2020-12-11,True,4.3
PRV00099,"Delgado, Colón y Fierro - San Jaime los bajos",Clinic,Urgent Care Clinic,,VIXG161102FL6,"Calle Miranda 319 Edif. 553 , Depto. 481",San Jaime los bajos,SLP,04503-5992,01802963665,samuelpena@example.com,Tier 2 - Standard,2016-01-08,2021-01-06,True,
PRV00100,Mireles S.A. de C.V. - Vieja Guatemala,Imaging Center,MRI Center,,BIFX21092694K,Andador Sur Hidalgo 666 Interior 856,Vieja Guatemala,MOR,06795,986-656-5927x79972,worosco@example.net,Tier 1 - Preferred,2018-09-06,2020-09-05,True,3.7
PRV00101,Dr. Blanca Arreola Mercado,Individual,Cardiology,29643836,SUZO110524D6M,Prolongación Sur Soria 455 011,San Marisela los altos,CHIS,21322-6125,1-312-415-7395,qsoria@example.net,Tier 1 - Preferred,2020-06-02,2023-06-02,True,4.2
PRV00102,Dr. Alejandro Chávez Matías,Individual,Pediatrics,32332178,UALR190506AU5,Periférico Sur Caraballo 052 132,Tlalpan,CDMX,47837,815-795-0178x05211,,Tier 1 - Preferred,2024-04-19,2027-04-19,True,3.3
