patient_id,first_name,last_name,maternal_surname,date_of_birth,gender,curp,street_address,city,state,zip_code,email,plan_name,plan_code,policy_number,group_id,enrollment_date,is_active,annual_deductible,annual_out_of_pocket_max
P000011,Esperanza,Garica,Alva,1984-06-18,F,ZIHB551021HCHDTC00,"Circuito Montoya 868 Edif. 501 , Depto. 429",León,GTO,01965-5698,olmosreynaldo@example.org,Standard,STD,POL40608835,GRP00058,2022-09-26,False,3000,40000
P000012,Wendolin,Menéndez,Martínez,1984-09-09,M,IUTN240115HHGMQV03,Eje vial Puebla 482 Interior 366,Coyoacán,CDMX,99468,maestasgonzalo@example.org,Standard,STD,POL69957773,,2023-02-19,True,3000,40000
P000013,Noelia,Meza,Cabán,1995-03-27,M,CIAS960917HMCBDW09,Calzada Chipre 037 917,Nueva Guinea Bissau,TLAX,93676-3201,lgaona@example.net,Premium,PRM,POL87083172,GRP00127,2024-08-03,True,1500,30000
P000014,Yeni,Tamez,Valdivia,1980-01-27,M,QEIV191015MJCWGXA8,"Privada Norte Covarrubias 774 Edif. 348 , Depto. 734",Toluca,MEX,14345-5812,estherolivera@example.net,Premium,PRM,POL23166587,,2022-08-29,False,1500,30000
P000015,Emiliano,Peres,Ordóñez,2001-02-09,M,DAVN770502MTSRSX09,Peatonal Sur Mora 668 Interior 893,Mérida,YUC,34670-6562,ncavazos@example.net,Premium,PRM,POL06990162,,2024-11-30,True,1500,30000
P000016,Juan,Menchaca,Galarza,1970-07-02,M,HEGR480924MCMRHI01,Eje vial Morelos 708 053,Nueva Georgia,CHIS,00330,eveliocastro@example.com,Essential,ESS,POL19374529,,2023-08-14,True,5000,50000
P000017,Bianca,Véliz,Alvarez,2002-09-29,M,BUAC760516HGTRTP04,"Calzada Sur Villarreal 314 Edif. 919 , Depto. 058",Nueva Indonesia,COAH,51850-6716,teresa72@example.com,Standard,STD,POL28498776,,2024-09-16,True,3000,40000
P000018,Asunción,Leiva,Raya,1956-02-29,F,IOJN630628MDGJMG07,Ampliación Zacatecas 273 Interior 545,San Irene de la Montaña,SON,94808-3136,wvaca@example.org,Premium,PRM,POL77701436,GRP00002,2024-01-15,False,1500,30000
P000019,José Carlos,Rojas,Uribe,1975-09-07,F,QUFB581210HGRDYC07,Pasaje Nayarit 431 Interior 351,San Wilfrido los altos,CAMP,33749,benito34@example.org,Premium,PRM,POL52408240,GRP00300,2025-06-15,True,1500,30000
P000020,Mitzy,Candelaria,Alcala,1978-08-14,M,SUBT640112HTCXXQ05,Callejón Campeche 711 Interior 671,San Carmen los altos,MICH,22941,caridadvaldez@example.com,Standard,STD,POL99938677,,2022-01-25,True,3000,40000
P000021,Silvano,Balderas,Camacho,2004-01-07,M,IOEV330907MVZNDA01,Avenida Guanajuato 281 206,San Hilda los altos,MOR,97403-4471,gabinovillalpando@example.net,Essential,ESS,POL36183242,,2020-12-08,True,5000,50000
P000022,Rebeca,Lomeli,Quiñones,1948-01-14,M,LAHL890620MGTSWW06,Periférico Zacatecas 190 Interior 659,Vieja Rwanda,CHIS,01399-0490,marianosolano@example.net,Essential,ESS,POL74296717,GRP00136,2022-04-27,True,5000,50000
P000023,Bernardo,Cruz,Mendoza,1967-07-29,M,EIDD670121HNTMYG09,Pasaje Bueno 451 Interior 680,San Inés los altos,AGS,60385-9770,gabrielaulloa@example.org,Standard,STD,POL47710932,GRP00478,2022-02-18,True,3000,40000
P000024,Adela,Urías,Pantoja,1945-12-02,M,COIB240906HQOGZIA0,"Boulevard Sur Samaniego 484 Edif. 677 , Depto. 378",Tlaquepaque,JAL,63982,leallinda@example.com,Standard,STD,POL84044997,GRP00465,2024-11-27,True,3000,40000
P000025,Jaime,Mercado,Urías,1991-06-16,M,CERB530504MDGRGB03,Cerrada República Democrática Popular Lao 360 Interior 576,San Pablo los bajos,TLAX,27028-9517,sotelomaria-eugenia@example.org,Standard,STD,POL26217459,GRP00005,2024-01-17,True,3000,40000
P000026,Oswaldo,Olivares,Mateo,1982-03-15,M,LUNT120710HMNHHNA0,Retorno Barrientos 431 611,Vieja Swazilandia,BCS,24005-0455,pconcepcion@example.net,Premium,PRM,POL69222196,GRP00128,2023-09-06,True,1500,30000
P000027,Fabiola,Salinas,Vergara,1949-04-24,M,IEZW630128HSLCTH05,Circuito Sur Rivero 821 Interior 759,San Juan del Río,QRO,64743-6713,wvazquez@example.net,Premium,PRM,POL44064090,,2025-02-18,True,1500,30000
P000028,Miriam,Llamas,Godínez,1980-11-10,M,HAVG500614MQOLDY03,"Calle Chiapas 047 Edif. 095 , Depto. 214",Xalapa,VER,62328-5884,franciscorosario@example.com,Essential,ESS,POL51712368,,2022-05-30,True,5000,50000
P000029,Omar,Castañeda,Rentería,1964-08-23,F,AAIF960619MBSFYN05,"Viaducto Norte Cardenas 370 Edif. 985 , Depto. 931",San Adela los bajos,SON,46120-0471,gollumpablo@example.org,Standard,STD,POL67586926,,2023-11-09,True,3000,40000
P000030,Minerva,Pantoja,Lemus,1941-10-21,M,IAWN520724HHGPRC05,"Cerrada Norte Camacho 585 Edif. 064 , Depto. 317",Tehuacán,PUE,39005,carmenvallejo@example.org,Standard,STD,POL18393352,GRP00198,2024-07-10,False,3000,40000
P000031,Rubén,Acevedo,Lebrón,1997-12-14,F,QIVN260514MSRMWE03,"Callejón Chihuahua 020 Edif. 539 , Depto. 502",San Juan del Río,QRO,02681-1775,razonadia@example.org,Standard,STD,POL90847007,GRP00461,2024-10-26,True,3000,40000
P000032,María,Benavides,Blanco,1961-06-26,F,MUAJ261015MJCRXT02,Retorno Puebla 984 Interior 789,San Bianca los bajos,SIN,11836-7365,aozuna@example.net,Standard,STD,POL15654527,,2020-11-30,True,3000,40000
P000033,Arturo,Cabán,Preciado,1946-02-23,M,VAJQ950414MCHKMH03,"Prolongación Valenzuela 516 Edif. 560 , Depto. 494",Xalapa,VER,19832-7315,camila49@example.org,Standard,STD,POL68998094,GRP00243,2020-09-21,True,3000,40000
P000034,Jerónimo,Aguayo,Durán,1998-09-24,M,OOUS750411HSLTQH04,Calle Angulo 836 675,San Horacio los bajos,DGO,54599,avilacristal@example.org,Essential,ESS,POL90147679,GRP00244,2022-10-16,True,5000,50000
P000035,Camila,Montaño,Posada,1947-02-14,M,YOHF880403MCCWKD05,Andador México 900 Interior 343,San Esmeralda los altos,AGS,44510,lposada@example.org,Premium,PRM,POL68388516,,2024-11-21,True,1500,30000
P000036,Alma,Pulido,Almaraz,1970-11-04,F,TUNR180812MGTTSI03,Prolongación Norte Perales 160 Interior 529,Coatzacoalcos,VER,51613-6968,ortizhoracio@example.net,Standard,STD,POL53521818,GRP00163,2023-02-17,True,3000,40000
P000037,Verónica,Cordero,Gracia,1946-07-28,M,IOCW390411MMNLNK07,Viaducto Belice 779 979,San Jerónimo los altos,NAY,52717-7449,moranatividad@example.org,Premium,PRM,POL47700541,GRP00321,2023-10-21,True,1500,30000
P000038,Roberto,Urrutia,Arguello,1970-03-01,M,WECN030710MQOWSNA0,"Retorno Yucatán 207 Edif. 151 , Depto. 820",Vieja Mozambique,COL,77889,josenieves@example.com,Essential,ESS,POL66590515,GRP00356,2021-01-19,True,5000,50000
P000039,Víctor,Zavala,Cornejo,1962-04-01,M,YUMP770307HQRMQN06,Circunvalación Sonora 914 865,San Gloria los bajos,TAB,81685,naranjohoracio@example.org,Standard,STD,POL35733221,,2022-01-22,True,3000,40000
P000040,Benito,Sarabia,Tirado,1996-05-14,F,KOXF120202MCMYWAA7,"Retorno Distrito Federal 622 Edif. 292 , Depto. 706",Nezahualcóyotl,MEX,37947-3834,xesquibel@example.net,Essential,ESS,POL97746886,GRP00015,2025-05-31,True,5000,50000
P000041,Elvira,Zedillo,Chavarría,1998-12-11,M,BIMK150820HVZNNY09,"Privada Chiapas 814 Edif. 124 , Depto. 782",Tijuana,BC,13750-6068,eugenio61@example.com,Standard,STD,POL30515220,GRP00237,2022-01-06,True,3000,40000
P000042,Mariano,Rangel,Adame,2001-03-06,F,COAX111015HQRKZC02,"Privada Uzbekistán 861 Edif. 434 , Depto. 103",San Clara los altos,NAY,97117-9808,claudiolovato@example.com,Premium,PRM,POL09539621,,2023-03-14,True,1500,30000
P000043,Pamela,Sarabia,Sarabia,1977-04-06,M,AUEH541116HYNFXG07,Viaducto Ontiveros 405 Interior 153,San Ángel los altos,BCS,95205,trinidad27@example.net,Premium,PRM,POL72217043,,2020-10-19,True,1500,30000
P000044,Horacio,Serrato,Otero,2006-11-03,M,YEJD720728HOCXQM03,Viaducto Espino 505 Interior 415,Nueva Irán,MOR,67652-7758,armando61@example.com,Premium,PRM,POL92845115,GRP00311,2023-11-20,False,1500,30000
P000045,Luis,de la Crúz,Quiroz,1963-06-27,M,DIVT140630HBSPWN08,"Circuito Sur Benavídez 658 Edif. 202 , Depto. 970",San Marisela los altos,HGO,13556,zedillocristian@example.net,Essential,ESS,POL75571928,,2022-06-01,True,5000,50000
P000046,Felix,Carrera,Alvarez,1989-08-09,F,PANL670621MDGRHX06,"Circuito Hurtado 739 Edif. 473 , Depto. 121",San Violeta los bajos,COAH,27155-1884,cristina25@example.net,Standard,STD,POL31323705,GRP00435,2023-05-09,True,3000,40000
P000047,Catalina,Briseño,Barraza,1960-08-11,F,OOXS250714MPLKDIA0,Eje vial Sur Castillo 177 Interior 852,San Mayte los altos,NAY,26801,hernande-anda@example.org,Standard,STD,POL53584143,,2023-10-04,True,3000,40000
P000048,Hernán,Tejeda,Cabán,1973-10-03,F,KAPK290221HZSJPZ09,"Retorno Uganda 590 Edif. 010 , Depto. 943",San Carmen los altos,MICH,90784-4736,maria-elena10@example.org,Premium,PRM,POL76773592,GRP00343,2022-02-22,True,1500,30000
P000049,Catalina,Nevárez,Serrato,1977-10-09,F,RAQG460807HMNRTR07,Circuito Rascón 210 469,San Jaime los bajos,NAY,32595-3278,tsamaniego@example.com,Premium,PRM,POL01687339,,2022-05-06,True,1500,30000
P000050,Amador,Lerma,Saldaña,1980-03-18,M,JEMW070509HOCXPPA1,Privada Aguascalientes 624 565,Progreso,YUC,60983,perla41@example.com,Premium,PRM,POL87849912,GRP00009,2025-06-16,True,1500,30000
P000051,Porfirio,Navarrete,Colón,1953-02-12,F,LOIJ680822MMCFJK07,"Andador Chapa 578 Edif. 729 , Depto. 825",San José Luis los bajos,QROO,26949-5888,tvalladares@example.com,Standard,STD,POL05516940,,2023-07-26,True,3000,40000
P000052,Reynaldo,Gil,Ávalos,1979-04-05,F,XUYQ290512MDFJMH07,"Cerrada Argentina 130 Edif. 756 , Depto. 263",San Vanesa los altos,GRO,89702-8385,ysotelo@example.com,Essential,ESS,POL27858549,,2023-01-01,True,5000,50000
P000053,Héctor,Garza,Luevano,1992-01-08,M,BUJW910508HZSFBS02,"Peatonal Quintana Roo 441 Edif. 986 , Depto. 652",Vieja República de Corea,OAX,04157-4733,ramiro42@example.org,Essential,ESS,POL99330833,GRP00141,2020-11-03,True,5000,50000
P000054,Liliana,Menéndez,Rodríquez,1946-06-02,F,PACM981228MCSXZV00,Eje vial Sudán 734 Interior 540,Valladolid,YUC,93802,cdel-valle@example.com,Essential,ESS,POL72400499,,2021-02-12,True,5000,50000
P000055,Tomás,Tórrez,Soria,1973-03-02,M,HARY180615MMCVQOA7,Calzada Chihuahua 274 Interior 205,San Gloria los bajos,DGO,93296-6851,lcadena@example.org,Premium,PRM,POL75304637,,2024-05-08,True,1500,30000
P000056,Renato,Alba,Ibarra,1984-01-12,F,SUBT891210HJCZJI01,Pasaje Maldonado 684 145,San Hermelinda los altos,OAX,32727,linda87@example.net,Premium,PRM,POL33918785,,2020-12-20,True,1500,30000
P000057,Ramón,Carrasco,Bañuelos,1995-12-09,F,OUPJ140426HMCMMWA9,"Callejón Islandia 713 Edif. 971 , Depto. 870",Guanajuato,GTO,28679-0874,ortizflorencia@example.org,Essential,ESS,POL39106518,GRP00002,2025-07-21,True,5000,50000
P000058,Gonzalo,Paredes,Dueñas,1991-11-14,M,NARH980602HNTGDB07,Diagonal Tlaxcala 618 Interior 251,Vieja Argentina,COAH,86823,altamiranohector@example.com,Standard,STD,POL86863375,,2021-05-10,True,3000,40000
P000059,Virginia,Perea,Alemán,1955-12-12,F,OAOW170522MSRLVR03,"Retorno Sur Guevara 067 Edif. 383 , Depto. 028",Nueva Argentina,OAX,39599-5342,lilianamacias@example.com,Standard,STD,POL08926870,,2025-06-11,True,3000,40000
P000060,Lorena,Paredes,Córdova,1959-12-22,F,TIAC301129HBCLXB09,"Cerrada Honduras 270 Edif. 866 , Depto. 882",San Ofelia los bajos,COL,34351-7518,ameliajasso@example.com,Standard,STD,POL99013983,,2022-12-23,True,3000,40000
P000061,Eric,Espinal,Carvajal,1990-05-15,F,FUNU970131MCHTPN08,"Diagonal Filipinas 546 Edif. 785 , Depto. 445",San Hernán de la Montaña,GRO,71753-5560,clementealeman@example.com,Standard,STD,POL89964235,,2021-09-24,True,3000,40000
P000062,Vanesa,Miranda,Hinojosa,1991-06-28,F,JOYR660406HVZDNI06,Callejón Norte de la O 872 808,Vieja República Centroafricana,CHIS,10062,angelcorona@example.org,Premium,PRM,POL38750997,GRP00356,2023-11-17,True,1500,30000
P000063,Pedro,Patiño,Alcala,1940-09-19,M,VUON930510HHGVPT07,Periférico Posada 118 233,Nueva Portugal,SON,54615-6793,helenablanco@example.net,Premium,PRM,POL01666870,,2023-10-07,True,1500,30000
P000064,Manuel,Meraz,Valles,2006-01-14,M,JOWP220719HBCZYZA0,"Calzada Tonga 740 Edif. 148 , Depto. 902",Nueva Omán,TLAX,03926-1429,raquelordonez@example.net,Premium,PRM,POL85621850,GRP00282,2021-01-25,True,1500,30000
P000065,Esther,Benítez,Molina,1980-09-24,M,DODU801015HZSMVW00,Ampliación Nayarit 735 Interior 866,Celaya,GTO,96194,antoniaborrego@example.com,Standard,STD,POL26265511,GRP00048,2020-08-09,True,3000,40000
P000066,Homero,Rael,Murillo,1991-05-09,M,TUXE210610HNTRNZ05,"Eje vial Micronesia 886 Edif. 101 , Depto. 581",Valladolid,YUC,60466-1839,juande-la-o@example.org,Essential,ESS,POL44472126,GRP00197,2021-12-17,True,5000,50000
P000067,Jorge Luis,Heredia,Gurule,1988-08-07,F,EORP670204MQOWWM04,Boulevard Sur Maestas 659 657,San Maximiliano de la Montaña,AGS,69245-9375,leonelmatos@example.com,Essential,ESS,POL79356465,GRP00301,2021-02-24,True,5000,50000
P000068,Ramón,Feliciano,Villarreal,2007-05-25,M,YOBK300615MSLQZE00,"Calzada Norte Lovato 167 Edif. 243 , Depto. 426",Puebla,PUE,17979-6886,murilloomar@example.net,Elite,ELT,POL11352909,GRP00197,2025-07-02,True,0,20000
P000069,Bernabé,Alarcón,Calvillo,1957-03-05,F,DODQ681026MASGRU09,"Corredor Norte Rivas 982 Edif. 507 , Depto. 146",San Isabel los bajos,BCS,12545,hfonseca@example.com,Essential,ESS,POL57177514,,2020-10-20,False,5000,50000
P000070,Vicente,Cardona,de Anda,2002-10-25,F,TOUC950624MSLNZW03,Continuación República de Macedonia del Norte 736 Interior 226,Nueva Italia,COAH,09379-6603,germanbarajas@example.net,Standard,STD,POL18255371,,2021-11-22,True,3000,40000
P000071,Humberto,Zambrano,Oquendo,1981-02-24,M,UIHX770903HTSFZW01,"Pasaje Guerrero 499 Edif. 125 , Depto. 134",San Óliver los altos,ZAC,25286,iybarra@example.net,Premium,PRM,POL66278282,GRP00036,2023-01-11,True,1500,30000
P000072,María del Carmen,Avilés,Muñoz,2004-04-21,M,KAJL651018MTSGKQ07,"Privada Norte Paredes 767 Edif. 721 , Depto. 903",Nueva Irán,TLAX,04384-2797,vegacamila@example.com,Essential,ESS,POL85807836,GRP00015,2021-02-03,True,5000,50000
P000073,María del Carmen,Irizarry,Montero,1998-03-18,F,TEPS190903HMCSZI09,"Calzada Venezuela 596 Edif. 292 , Depto. 330",Vieja Argentina,GRO,84982-5449,noelia12@example.com,Essential,ESS,POL04223253,GRP00446,2024-05-22,True,5000,50000
P000074,Reynaldo,Jiménez,Pedroza,1965-02-03,M,COLS180505MTSLSJ02,Periférico Norte Negrete 759 Interior 017,San Minerva de la Montaña,AGS,18636-3745,ivan89@example.org,Premium,PRM,POL97500170,GRP00148,2021-03-14,True,1500,30000
P000075,Abel,Porras,Fierro,2007-04-16,F,SIWJ150127HSRLBSA3,"Circuito Bosnia y Herzegovina 541 Edif. 520 , Depto. 643",Vieja Mongolia,SIN,11037-1293,aaguirre@example.net,Premium,PRM,POL51627136,GRP00196,2021-01-10,True,1500,30000
P000076,José Carlos,Luna,Chapa,1965-08-09,F,YETZ031207MMCZJTA8,"Avenida Polonia 092 Edif. 753 , Depto. 269",Nueva Irán,CAMP,31121-9656,clara34@example.net,Premium,PRM,POL13899940,,2024-10-27,True,1500,30000
P000077,Victoria,Madera,Flórez,1974-10-15,F,ZOBS680907MCMDMK01,Viaducto Campeche 761 379,Ciudad de México,CDMX,80552,avarela@example.com,Premium,PRM,POL82710910,,2021-11-22,True,1500,30000
P000078,Natividad,Llamas,Sánchez,1991-09-29,F,QUIF580919MYNMNZ01,"Viaducto Terán 924 Edif. 141 , Depto. 832",Nueva Liechtenstein,GRO,69146-3031,dcarrillo@example.net,Essential,ESS,POL90421020,,2021-05-26,True,5000,50000
P000079,Francisco Javier,de la Crúz,Nieto,1948-03-18,F,ZULC000311MASLWDA1,Ampliación Meza 481 Interior 491,San Octavio los altos,COAH,78507-9252,benjamin91@example.org,Essential,ESS,POL80003075,,2022-06-30,True,5000,50000
P000080,Perla,Perea,Garrido,1961-06-18,F,DEPA571113MMCZDU04,Avenida San Luis Potosí 802 380,Nueva Armenia,MOR,17445-1870,elvira49@example.com,Standard,STD,POL93759738,,2024-05-20,True,3000,40000
P000081,Lucas,Alva,Gonzales,1976-05-28,M,JODD830509HCMQSL07,"Ampliación Sinaloa 413 Edif. 836 , Depto. 702",Nueva Albania,OAX,10386-5719,santiagocecilia@example.net,Standard,STD,POL61990623,GRP00024,2022-01-14,True,3000,40000
P000082,Itzel,Matías,Regalado,1958-01-27,F,UAPT180331MNTCPG07,Prolongación Bulgaria 127 756,San Laura los altos,TAB,85374,hjaimes@example.org,Standard,STD,POL24903521,,2024-02-20,True,3000,40000
P000083,Amador,Luna,Hurtado,1995-05-07,F,RIBM291001MHGFSC00,Privada Sur Cabrera 121 Interior 003,San Leonardo los altos,MICH,36519,antonio01@example.org,Premium,PRM,POL72151070,GRP00352,2021-06-02,True,1500,30000
P000084,Renato,Prieto,Ortega,1973-04-26,M,CUGS531223HMCNGZ07,Corredor Eslovenia 447 209,Tijuana,BC,47687,britogilberto@example.com,Premium,PRM,POL26383806,GRP00065,2024-06-28,True,1500,30000
P000085,Mercedes,Montañez,Valles,1973-09-28,M,RIZF540820HBCGBL07,Continuación Zambrano 040 785,San Mauro los altos,AGS,21334,gaonarene@example.com,Essential,ESS,POL52239559,,2020-09-20,True,5000,50000
P000086,Claudia,Valladares,Escobedo,1996-06-23,M,EOQD030803HYNSPQA3,Callejón Zacatecas 103 930,San Raquel los altos,MICH,05932-5250,corderorodrigo@example.net,Standard,STD,POL21851569,GRP00136,2021-01-31,True,3000,40000
P000087,Cristina,Quesada,Ruiz,1983-09-22,M,XUJO291015HCCTQN01,Prolongación Cuba 442 Interior 209,San Irene de la Montaña,TLAX,90295-9391,vcisneros@example.net,Standard,STD,POL13552157,,2020-08-20,True,3000,40000
P000088,Ángel,Montez,Hidalgo,1993-02-05,M,KUEC930224HNTYZS03,Pasaje Norte de la Crúz 765 Interior 861,Nueva Tonga,ZAC,93271-0405,bernardo15@example.org,Premium,PRM,POL62181599,GRP00461,2025-01-17,True,1500,30000
P000089,Alta  Gracia,Prado,de Anda,1980-11-16,F,DAUU591213HTSSKN03,Continuación Flórez 688 444,Tehuacán,PUE,10698,dcorrales@example.com,Elite,ELT,POL06149731,GRP00233,2020-09-16,True,0,20000
P000090,David,Lovato,Bonilla,1971-10-14,F,VILE221224MCSDDC01,"Peatonal Norte Bustos 862 Edif. 565 , Depto. 270",Xalapa,VER,77434-9021,montanezpatricia@example.com,Standard,STD,POL93806868,GRP00219,2024-01-07,True,3000,40000
P000091,Martín,Luna,Berríos,1966-06-05,F,VANL080821MCCMYJA1,Boulevard Micronesia 233 206,San Renato de la Montaña,SLP,63294,angel16@example.net,Premium,PRM,POL68548709,GRP00301,2023-07-09,True,1500,30000
P000092,Lourdes,Carreón,Pedroza,1949-10-03,F,RIDY750423MMCRWY04,Prolongación Campos 856 Interior 467,Zapopan,JAL,02462-9960,smeraz@example.org,Standard,STD,POL07450544,GRP00056,2021-12-25,True,3000,40000
P000093,Mitzy,Calvillo,Gil,1948-09-19,F,AEIW220804MQOPBFA7,"Circuito Tabasco 137 Edif. 367 , Depto. 850",Ensenada,BC,14862,delgadilloelisa@example.org,Premium,PRM,POL03070534,,2022-06-03,True,1500,30000
P000094,Teresa,Castañeda,Angulo,1956-01-13,M,CUGM660413MVZNHL06,"Peatonal República Unida de Tanzanía 552 Edif. 414 , Depto. 060",San Natalia los bajos,SON,93333,uriel68@example.org,Essential,ESS,POL07229034,,2023-08-16,True,5000,50000
P000095,Hilda,Laureano,Piña,2000-06-22,M,FUBV080513HNTSRPA9,Calzada Veracruz de Ignacio de la Llave 896 Interior 910,San Martín Texmelucan,PUE,89944-1715,timoteo54@example.com,Standard,STD,POL43283096,,2023-11-19,True,3000,40000
P000096,Miriam,Lucero,Huerta,2001-04-01,M,LODJ560707MOCCKM07,"Continuación Uruguay 387 Edif. 584 , Depto. 282",Nueva Sudán,TAB,17248-2513,esparta46@example.com,Essential,ESS,POL54947170,,2024-11-29,False,5000,50000
P000097,Mónica,Casares,Olivárez,1975-08-11,M,YIJK570702HASTRF07,Calzada Italia 972 Interior 521,Vieja Egipto,CAMP,52500-7432,minervabueno@example.org,Essential,ESS,POL96666760,GRP00109,2020-10-07,True,5000,50000
P000098,Elvira,Niño,Alcaraz,2000-03-27,M,NAOC970517MTSXQW04,Ampliación Guzmán 542 168,Naucalpan,MEX,21044-7898,manuel25@example.com,Essential,ESS,POL53260332,,2021-08-20,True,5000,50000
P000099,Agustín,Villalpando,Santana,1951-01-27,M,ZUOW520209MCHRFH08,"Viaducto Norte Téllez 090 Edif. 100 , Depto. 167",Monterrey,NL,18472-3046,solisgenaro@example.net,Standard,STD,POL92618914,,2021-02-24,True,3000,40000
P000100,Sandra,Feliciano,Irizarry,1996-02-14,F,HIYF220619HNEZFQA0,"Circunvalación Sur Arenas 737 Edif. 530 , Depto. 011",Vieja El Salvador,SON,21811-4374,marisol01@example.org,Standard,STD,POL04556110,GRP00159,2020-08-17,True,3000,40000
P000101,Jorge,Quezada,Jasso,1999-04-26,M,HAEI200513HGRYGY00,Boulevard Lituania 746 Interior 762,Nueva Islas Marshall,QROO,20216,rvarela@example.com,Standard,STD,POL29659027,,2025-03-08,True,3000,40000
P000102,Amalia,Barajas,Ibarra,1984-02-13,F,OUYS110106MPLZNE08,Periférico Chiapas 375 Interior 628,Vieja Mauritania,COAH,02877,antoniosalazar@example.com,Essential,ESS,POL35408386,,2022-08-06,True,5000,50000
P000103,Eugenio,Berríos,Rico,1969-10-14,M,LUCJ760120MTLCCL08,Pasaje Norte Casanova 016 Interior 608,Valladolid,YUC,19948,vanesareyes@example.com,Standard,STD,POL50375899,,2022-12-12,True,3000,40000
P000104,Beatriz,Garibay,Acevedo,1962-10-17,M,TUQM051106MBSSXUA8,Boulevard Baja California Sur 726 149,San María Cristina de la Montaña,COAH,31637,ivonnecardenas@example.com,Standard,STD,POL09177982,,2025-05-26,True,3000,40000
P000105,Abigail,Tamez,Arriaga,1977-03-14,F,WAQU591015HBSKSO07,"Prolongación Cuba 216 Edif. 995 , Depto. 866",Progreso,YUC,46547,citlalipaz@example.net,Essential,ESS,POL84858333,GRP00053,2023-09-14,True,5000,50000
P000106,Gregorio,Montaño,Centeno,2006-04-24,F,VUBZ841228MCSNFR08,"Boulevard Quintana Roo 799 Edif. 684 , Depto. 608",Celaya,GTO,06200,gabrielacruz@example.com,Standard,STD,POL42043805,GRP00210,2024-08-26,True,3000,40000
P000107,Benjamín,Valenzuela,Garrido,1990-01-24,M,KASV740909HQRMZW00,Andador Sinaloa 658 Interior 004,Santa Catarina,NL,97359,eloisalozano@example.com,Premium,PRM,POL21228160,,2022-09-21,True,1500,30000
P000108,Pilar,Jaime,Cedillo,1950-07-10,F,EUCU070920MNEPBLA6,Pasaje Durango 259 094,Ciudad de México,CDMX,98515-8328,santiagocristobal@example.com,Essential,ESS,POL88615335,GRP00406,2022-03-27,True,5000,50000
P000109,Guadalupe,Gamez,Tamez,1971-11-15,M,EAJZ740912HNEWVB00,Corredor Ramírez 993 056,Tlaquepaque,JAL,64840,noelia87@example.com,Premium,PRM,POL04358112,GRP00116,2025-06-10,True,1500,30000
P000110,Pablo,Tejeda,Aguilar,1982-03-19,M,XOBN340112MMNSYJ09,"Boulevard Sur Terrazas 612 Edif. 075 , Depto. 011",Xochimilco,CDMX,24819,francisco-javierpantoja@example.com,Essential,ESS,POL76650618,GRP00355,2020-08-10,True,5000,50000
